time,temp
-1.24,2025-04-1420:48:44
-1.24,2025-04-1420:59:47
0.76,2025-04-1421:31:13
0.76,2025-04-1421:42:37
0.76,2025-04-1421:53:58
1.76,2025-04-1422:37:27
1.76,2025-04-1422:48:37
1.76,2025-04-1422:59:28
5.76,2025-04-1423:30:27
5.76,2025-04-1423:43:14
5.76,2025-04-1423:54:09
11.76,2025-04-1503:14:27
12.76,2025-04-1503:54:43
12.76,2025-04-1504:42:00
12.76,2025-04-1504:55:23
13.76,2025-04-1505:38:18
13.76,2025-04-1505:49:36
12.76,2025-04-1506:48:26
12.76,2025-04-1506:59:35
12.76,2025-04-1507:37:14
12.76,2025-04-1507:48:07
12.76,2025-04-1507:59:05
11.76,2025-04-1508:50:23
9.76,2025-04-1509:35:42
9.76,2025-04-1509:47:13
9.76,2025-04-1509:58:23
8.76,2025-04-1510:44:39
8.76,2025-04-1510:55:39
7.76,2025-04-1511:27:09
7.76,2025-04-1511:42:59
7.76,2025-04-1511:54:11
6.76,2025-04-1513:36:26
6.76,2025-04-1513:52:15
6.76,2025-04-1514:41:38
6.76,2025-04-1514:52:55
6.76,2025-04-1515:37:44
6.76,2025-04-1515:49:29
5.76,2025-04-1516:43:56
5.76,2025-04-1516:56:10
3.76,2025-04-1517:35:26
3.76,2025-04-1517:46:16
3.76,2025-04-1517:57:09
5.76,2025-04-1518:47:28
5.76,2025-04-1518:58:15
4.76,2025-04-1519:24:57
4.76,2025-04-1519:39:37
4.76,2025-04-1519:50:51
5.76,2025-04-1520:35:01
5.76,2025-04-1520:48:12
5.76,2025-04-1520:59:03
5.76,2025-04-1521:30:51
5.76,2025-04-1521:42:20
5.76,2025-04-1521:53:31
6.76,2025-04-1522:37:41
6.76,2025-04-1522:48:56
6.76,2025-04-1522:59:42
9.76,2025-04-1523:30:44
9.76,2025-04-1523:42:53
9.76,2025-04-1523:54:19
17.76,2025-04-1603:13:11
17.76,2025-04-1603:54:43
19.76,2025-04-1604:41:06
19.76,2025-04-1604:54:56
21.76,2025-04-1605:38:37
21.76,2025-04-1605:49:58
20.76,2025-04-1606:48:38
20.76,2025-04-1606:59:31
21.76,2025-04-1607:31:27
21.76,2025-04-1607:42:40
21.76,2025-04-1607:53:43
20.76,2025-04-1608:48:54
20.76,2025-04-1608:59:52
19.76,2025-04-1609:39:33
19.76,2025-04-1609:50:24
18.76,2025-04-1610:42:30
18.76,2025-04-1610:53:25
17.76,2025-04-1611:26:28
17.76,2025-04-1611:41:04
17.76,2025-04-1611:51:53
15.76,2025-04-1613:34:31
15.76,2025-04-1613:50:22
15.76,2025-04-1614:39:00
15.76,2025-04-1614:50:08
14.76,2025-04-1615:38:07
14.76,2025-04-1615:50:16
15.76,2025-04-1616:48:57
15.76,2025-04-1617:00:31
15.76,2025-04-1617:35:25
15.76,2025-04-1617:46:40
15.76,2025-04-1617:57:25
13.76,2025-04-1618:49:24
13.76,2025-04-1619:00:21
13.81,2025-04-1619:24:45
13.76,2025-04-1619:39:48
13.76,2025-04-1619:50:57
14.76,2025-04-1620:36:30
14.76,2025-04-1620:48:59
14.76,2025-04-1620:59:50
12.76,2025-04-1621:31:42
12.76,2025-04-1621:43:10
12.76,2025-04-1621:54:31
15.76,2025-04-1622:38:36
15.76,2025-04-1622:49:42
17.76,2025-04-1623:28:03
17.76,2025-04-1623:44:40
17.76,2025-04-1623:55:45
20.76,2025-04-1703:12:06
22.76,2025-04-1703:54:10
22.76,2025-04-1704:42:30
22.76,2025-04-1704:54:12
22.76,2025-04-1705:38:00
22.76,2025-04-1705:48:50
22.76,2025-04-1705:59:46
23.76,2025-04-1706:49:44
21.76,2025-04-1707:31:34
21.76,2025-04-1707:45:55
21.76,2025-04-1707:56:41
19.76,2025-04-1708:47:51
19.76,2025-04-1708:58:57
18.76,2025-04-1709:37:07
18.76,2025-04-1709:48:12
18.76,2025-04-1709:59:03
17.76,2025-04-1710:42:59
17.76,2025-04-1710:53:49
18.76,2025-04-1711:26:30
18.76,2025-04-1711:41:26
18.76,2025-04-1711:52:17
16.76,2025-04-1713:18:27
16.76,2025-04-1713:46:15
16.76,2025-04-1713:57:26
15.76,2025-04-1714:39:33
15.76,2025-04-1714:50:42
14.76,2025-04-1715:34:06
14.76,2025-04-1715:46:22
14.76,2025-04-1715:57:40
16.76,2025-04-1716:49:09
16.76,2025-04-1716:59:55
16.76,2025-04-1717:36:54
16.76,2025-04-1717:48:12
16.76,2025-04-1717:59:10
15.76,2025-04-1718:48:35
15.76,2025-04-1718:59:44
15.76,2025-04-1719:24:38
15.76,2025-04-1719:40:07
14.76,2025-04-1719:51:02
14.76,2025-04-1720:33:31
14.76,2025-04-1720:47:01
14.76,2025-04-1720:58:11
14.76,2025-04-1721:30:04
14.76,2025-04-1721:43:04
14.76,2025-04-1721:53:55
15.76,2025-04-1722:36:14
15.76,2025-04-1722:47:14
15.76,2025-04-1722:58:13
13.76,2025-04-1723:31:28
13.76,2025-04-1723:43:07
13.76,2025-04-1723:54:13
18.76,2025-04-1803:08:52
18.76,2025-04-1803:52:04
20.76,2025-04-1804:41:38
20.76,2025-04-1804:54:03
21.76,2025-04-1805:37:33
21.76,2025-04-1805:48:57
21.76,2025-04-1805:59:55
22.76,2025-04-1806:49:22
22.76,2025-04-1807:00:12
22.76,2025-04-1807:32:21
22.76,2025-04-1807:43:22
22.76,2025-04-1807:54:28
21.76,2025-04-1808:43:36
21.76,2025-04-1808:55:20
20.76,2025-04-1809:35:40
20.76,2025-04-1809:46:26
20.76,2025-04-1809:57:20
16.76,2025-04-1810:43:29
16.76,2025-04-1810:54:36
14.76,2025-04-1811:25:31
14.76,2025-04-1811:41:38
14.76,2025-04-1811:52:31
13.76,2025-04-1813:15:33
13.76,2025-04-1813:42:49
13.76,2025-04-1813:53:56
12.76,2025-04-1814:36:50
12.76,2025-04-1814:48:08
12.76,2025-04-1814:58:56
14.76,2025-04-1815:35:09
14.76,2025-04-1815:46:14
14.76,2025-04-1815:57:05
